category,code,title,description,href,image_key,path
aPaaS,Versatile,Versatile,,,aPaaS/Versatile.svg,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\aPaaS\Versatile.svg
Blockchain,BCS,Blockchain Service (BCS),"Build powerful, secure blockchains",https://www.huaweicloud.com/intl/en-us/product/bcs.html,Blockchain/BCS.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\Blockchain\BCS.png
BusinessApplications,CEC,Customer Engagement Center (CEC),A multi-channel contact center,https://www.huaweicloud.com/intl/en-us/product/cec.html,BusinessApplications/CEC.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\BusinessApplications\CEC.png
BusinessApplications,DNS,Domain Name Service (DNS),"Highly available, scalable authoritative resolution",https://www.huaweicloud.com/intl/en-us/product/dns.html,BusinessApplications/DNS.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\BusinessApplications\DNS.png
BusinessApplications,Domains,Domains,,,BusinessApplications/Domains.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\BusinessApplications\Domains.png
BusinessApplications,EDCM,Edge Data Center Management,Remote cloud management for data center facilities,https://www.huaweicloud.com/intl/en-us/product/edcm.html,BusinessApplications/EDCM.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\BusinessApplications\EDCM.png
BusinessApplications,esm,esm,,,BusinessApplications/esm.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\BusinessApplications\esm.png
BusinessApplications,HaydnCSF,HaydnCSF,,,BusinessApplications/HaydnCSF.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\BusinessApplications\HaydnCSF.png
BusinessApplications,Meeting,Huawei Cloud Meeting,Enjoy ultra-HD videoconferencing that is both reliable and secure,https://www.huaweicloud.com/intl/en-us/product/meeting.html,BusinessApplications/Meeting.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\BusinessApplications\Meeting.png
BusinessApplications,WeLink,HUAWEI CLOUD WeLink,Digital collaborative office platform,https://www.huaweicloud.com/intl/en-us/product/welink.html,BusinessApplications/WeLink.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\BusinessApplications\WeLink.png
BusinessApplications,PrivateNumber,PrivateNumber,,,BusinessApplications/PrivateNumber.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\BusinessApplications\PrivateNumber.png
BusinessApplications,ROMAConnect,ROMA Connect,"Seamlessly integrate applications, messages, data, APIs, and devices",https://www.huaweicloud.com/intl/en-us/product/roma.html,BusinessApplications/ROMAConnect.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\BusinessApplications\ROMAConnect.png
BusinessApplications,ROMAExchange,ROMAExchange,,,BusinessApplications/ROMAExchange.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\BusinessApplications\ROMAExchange.png
BusinessApplications,VoiceCall,VoiceCall,,,BusinessApplications/VoiceCall.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\BusinessApplications\VoiceCall.png
BusinessApplications,Workspace,Workspace,"Secure, efficient, and out-of-the-box virtual desktops on the cloud",https://www.huaweicloud.com/intl/en-us/product/workspace.html,BusinessApplications/Workspace.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\BusinessApplications\Workspace.png
Compute,AS,Auto Scaling,Adapt compute resources to changing demand,https://www.huaweicloud.com/intl/en-us/product/as.html,Compute/AS.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\Compute\AS.png
Compute,BMS,Bare Metal Server (BMS),"Run services on dedicated, powerful physical servers",https://www.huaweicloud.com/intl/en-us/product/bms.html,Compute/BMS.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\Compute\BMS.png
Compute,CloudDC,Cloud Data Center (CloudDC),Enable quick cloud adoption for your assets,https://www.huaweicloud.com/intl/en-us/product/clouddc.html,Compute/CloudDC.svg,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\Compute\CloudDC.svg
Compute,CPH,Cloud Phone Host (CPH),Cloud servers with virtual phone functions,https://www.huaweicloud.com/intl/en-us/product/cph.html,Compute/CPH.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\Compute\CPH.png
Compute,dcc,Dedicated Computing Cluster (DCC),Physically isolate compute resource pools for your workloads,https://www.huaweicloud.com/intl/en-us/product/dcc.html,Compute/dcc.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\Compute\dcc.png
Compute,DeH,Dedicated Host (DeH),Ensure performance by keeping compute resources isolated,https://www.huaweicloud.com/intl/en-us/product/deh.html,Compute/DeH.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\Compute\DeH.png
Compute,ECS,Elastic Cloud Server (ECS),"Get your own secure, scalable virtual servers in the cloud",https://www.huaweicloud.com/intl/en-us/product/ecs.html,Compute/ECS.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\Compute\ECS.png
Compute,FACS,FACS,,,Compute/FACS.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\Compute\FACS.png
Compute,FCCI,FCCI,,,Compute/FCCI.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\Compute\FCCI.png
Compute,FlexusInsight,FlexusInsight,,,Compute/FlexusInsight.svg,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\Compute\FlexusInsight.svg
Compute,FlexusMeeting,FlexusMeeting,,,Compute/FlexusMeeting.svg,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\Compute\FlexusMeeting.svg
Compute,FlexusMetastudio,FlexusMetastudio,,,Compute/FlexusMetastudio.svg,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\Compute\FlexusMetastudio.svg
Compute,FlexusWorkspace,FlexusWorkspace,,,Compute/FlexusWorkspace.svg,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\Compute\FlexusWorkspace.svg
Compute,FunctionGraph,FunctionGraph,Run your code without provisioning or managing servers,https://www.huaweicloud.com/intl/en-us/product/functiongraph.html,Compute/FunctionGraph.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\Compute\FunctionGraph.png
Compute,GACS,GPU Accelerated Cloud Server (GACS),Get servers with excellent floating-point performance,https://www.huaweicloud.com/intl/en-us/product/gpu.html,Compute/GACS.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\Compute\GACS.png
Compute,Flexus,Huawei Cloud Flexus,Next-generation products with transcendent performance and experience,https://www.huaweicloud.com/intl/en-us/product/flexus.html,Compute/Flexus.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\Compute\Flexus.png
Compute,FECSL,Huawei Cloud Flexus L Instance,Lightweight servers ready out-of-the-box,https://www.huaweicloud.com/intl/en-us/product/flexus-l.html,Compute/FECSL.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\Compute\FECSL.png
Compute,FRDS,Huawei Cloud Flexus RDS,Lightweight databases that are easy to set up and manage,https://www.huaweicloud.com/intl/en-us/product/flexus-rds.html,Compute/FRDS.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\Compute\FRDS.png
Compute,FECSX,Huawei Cloud Flexus X Instance,"Flexible compute, 6x the performance, and stellar experience",https://www.huaweicloud.com/intl/en-us/product/flexus-x.html,Compute/FECSX.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\Compute\FECSX.png
Compute,HuaweiCloudEulerOS,HuaweiCloudEulerOS,,,Compute/HuaweiCloudEulerOS.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\Compute\HuaweiCloudEulerOS.png
Compute,IMS,Image Management Service (IMS),Create and deploy servers faster with images,https://www.huaweicloud.com/intl/en-us/product/ims.html,Compute/IMS.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\Compute\IMS.png
Containers,CCE,Cloud Container Engine (CCE),"Experience enterprise-class, managed Kubernetes service",https://www.huaweicloud.com/intl/en-us/product/cce.html,Containers/CCE.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\Containers\CCE.png
Containers,CCI,Cloud Container Instance (CCI),Build applications efficiently with serverless containers,https://www.huaweicloud.com/intl/en-us/product/cci.html,Containers/CCI.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\Containers\CCI.png
Containers,IEF,IEF,,,Containers/IEF.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\Containers\IEF.png
Containers,SWR,SoftWare Repository for Container (SWR),Manage your container images easily,https://www.huaweicloud.com/intl/en-us/product/swr.html,Containers/SWR.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\Containers\SWR.png
Containers,UCS,Ubiquitous Cloud Native Service (UCS),Extend cloud native to where your business goes,https://www.huaweicloud.com/intl/en-us/product/ucs.html,Containers/UCS.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\Containers\UCS.png
ContentDeliveryEdgeComputing,IES,CloudPond,Deploy integrated racks and cloud services on customer's facilities,https://www.huaweicloud.com/intl/en-us/product/cloudpond.html,ContentDeliveryEdgeComputing/IES.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\ContentDeliveryEdgeComputing\IES.png
ContentDeliveryEdgeComputing,CDN,Content Delivery Network (CDN),"Get content to users on this fast, scalable, and secure network",https://www.huaweicloud.com/intl/en-us/product/cdn.html,ContentDeliveryEdgeComputing/CDN.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\ContentDeliveryEdgeComputing\CDN.png
ContentDeliveryEdgeComputing,IEC,Intelligent Edge Cloud (IEC),Deploy cloud services near you for low latency,https://www.huaweicloud.com/intl/en-us/product/iec.html,ContentDeliveryEdgeComputing/IEC.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\ContentDeliveryEdgeComputing\IEC.png
ContentDeliveryEdgeComputing,WSA,Whole Site Acceleration (WSA),Speed up customer access to both your static and dynamic content,https://www.huaweicloud.com/intl/en-us/product/wsa.html,ContentDeliveryEdgeComputing/WSA.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\ContentDeliveryEdgeComputing\WSA.png
Databases,DAS,Data Admin Service (DAS),Manage your online databases with ease,https://www.huaweicloud.com/intl/en-us/product/das.html,Databases/DAS.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\Databases\DAS.png
Databases,DRS,Data Replication Service (DRS),Migrate your databases with minimal downtime,https://www.huaweicloud.com/intl/en-us/product/drs.html,Databases/DRS.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\Databases\DRS.png
Databases,UGO,Database and Application Migration UGO,Migrate heterogeneous database schemas,https://www.huaweicloud.com/intl/en-us/product/ugo.html,Databases/UGO.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\Databases\UGO.png
Databases,DDM,Distributed Database Middleware (DDM),Scale out resources to handle massive volumes of concurrent requests,https://www.huaweicloud.com/intl/en-us/product/ddm.html,Databases/DDM.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\Databases\DDM.png
Databases,DDS,Document Database Service (DDS),A scalable document database deployed in a cluster or replica set,https://www.huaweicloud.com/intl/en-us/product/dds.html,Databases/DDS.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\Databases\DDS.png
Databases,GaussDB,GaussDB,"An enterprise-grade, distributed relational database",https://www.huaweicloud.com/intl/en-us/product/gaussdb.html,Databases/GaussDB.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\Databases\GaussDB.png
Databases,GaussDBfornosql,GeminiDB,A cloud-native multi-model database compatible with mainstream NoSQL database protocols,https://www.huaweicloud.com/intl/en-us/product/geminidb.html,Databases/GaussDBfornosql.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\Databases\GaussDBfornosql.png
Databases,RDSforMariaDB,RDS for MariaDB,Power up your fully managed MariaDB,https://www.huaweicloud.com/intl/en-us/product/mariadb.html,Databases/RDSforMariaDB.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\Databases\RDSforMariaDB.png
Databases,RDSforMySQL,RDS for MySQL,"Power your LAMP stack with this popular, open-source database",https://www.huaweicloud.com/intl/en-us/product/mysql.html,Databases/RDSforMySQL.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\Databases\RDSforMySQL.png
Databases,RDSforPostgreSQL,RDS for PostgreSQL,An open-source database that ensures data reliability and integrity,https://www.huaweicloud.com/intl/en-us/product/pg.html,Databases/RDSforPostgreSQL.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\Databases\RDSforPostgreSQL.png
Databases,RDSforSQLServer,RDSforSQLServer,,,Databases/RDSforSQLServer.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\Databases\RDSforSQLServer.png
Databases,GaussDBforMySQL,TaurusDB,A MySQL-compatible enterprise-grade database,https://www.huaweicloud.com/intl/en-us/product/taurusdb.html,Databases/GaussDBforMySQL.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\Databases\GaussDBforMySQL.png
DeveloperServices,AstroPro,AstroPro,,,DeveloperServices/AstroPro.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\DeveloperServices\AstroPro.png
DeveloperServices,CAE,Cloud Application Engine (CAE),A service provides fully managed environment for deploying applications,https://www.huaweicloud.com/intl/en-us/product/cae.html,DeveloperServices/CAE.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\DeveloperServices\CAE.png
DeveloperServices,CodeArts,CodeArts,Develop software with built-in Huawei expertise,https://www.huaweicloud.com/intl/en-us/product/devcloud.html,DeveloperServices/CodeArts.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\DeveloperServices\CodeArts.png
DeveloperServices,CodeArtsArtifact,CodeArts Artifact,"Secure, reliable artifacts for software development",https://www.huaweicloud.com/intl/en-us/product/cloudrelease.html,DeveloperServices/CodeArtsArtifact.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\DeveloperServices\CodeArtsArtifact.png
DeveloperServices,CodeArtsBuild,CodeArts Build,Build code with out-of-the-box capabilities,https://www.huaweicloud.com/intl/en-us/product/cloudbuild.html,DeveloperServices/CodeArtsBuild.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\DeveloperServices\CodeArtsBuild.png
DeveloperServices,CodeArtsCheck,CodeArts Check,"Manage code quality with diverse standards, guidelines, and rules",https://www.huaweicloud.com/intl/en-us/product/codecheck.html,DeveloperServices/CodeArtsCheck.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\DeveloperServices\CodeArtsCheck.png
DeveloperServices,CodeArtsDeploy,CodeArts Deploy,Visualize and simplify code deployments,https://www.huaweicloud.com/intl/en-us/product/clouddeploy.html,DeveloperServices/CodeArtsDeploy.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\DeveloperServices\CodeArtsDeploy.png
DeveloperServices,DevSecurity,CodeArts Governance,Identify open-source software risks,https://www.huaweicloud.com/intl/en-us/product/codeartsgovernance.html,DeveloperServices/DevSecurity.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\DeveloperServices\DevSecurity.png
DeveloperServices,CodeArtsPerfTest,CodeArts PerfTest,Test the performance of your applications,https://www.huaweicloud.com/intl/en-us/product/cpts.html,DeveloperServices/CodeArtsPerfTest.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\DeveloperServices\CodeArtsPerfTest.png
DeveloperServices,CodeArtsPipeline,CodeArts Pipeline,Visualize and customize continuous delivery,https://www.huaweicloud.com/intl/en-us/product/cloudpipeline.html,DeveloperServices/CodeArtsPipeline.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\DeveloperServices\CodeArtsPipeline.png
DeveloperServices,CodeArtsRepo,CodeArts Repo,Host your code in private Git repositories,https://www.huaweicloud.com/intl/en-us/product/codehub.html,DeveloperServices/CodeArtsRepo.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\DeveloperServices\CodeArtsRepo.png
DeveloperServices,CodeArtsReq,CodeArts Req,Manage R&D requirements efficiently,https://www.huaweicloud.com/intl/en-us/product/projectman.html,DeveloperServices/CodeArtsReq.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\DeveloperServices\CodeArtsReq.png
DeveloperServices,CodeArtsTestPlan,CodeArts TestPlan,A one-stop test management platform,https://www.huaweicloud.com/intl/en-us/product/cloudtest.html,DeveloperServices/CodeArtsTestPlan.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\DeveloperServices\CodeArtsTestPlan.png
DeveloperServices,CodeArtsIDE,CodeArtsIDE,,,DeveloperServices/CodeArtsIDE.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\DeveloperServices\CodeArtsIDE.png
DeveloperServices,CodeArtsIDEOnline,CodeArtsIDEOnline,,,DeveloperServices/CodeArtsIDEOnline.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\DeveloperServices\CodeArtsIDEOnline.png
DeveloperServices,Flow,Flow,,,DeveloperServices/Flow.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\DeveloperServices\Flow.png
DeveloperServices,AstroZero,Huawei Cloud Astro Zero,Develop in low code,https://www.huaweicloud.com/intl/en-us/product/appcube.html,DeveloperServices/AstroZero.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\DeveloperServices\AstroZero.png
DeveloperServices,MSGSMS,Message & SMS,SMS solutions from multiple carriers and channels,https://www.huaweicloud.com/intl/en-us/product/msgsms.html,DeveloperServices/MSGSMS.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\DeveloperServices\MSGSMS.png
DeveloperServices,Mirrors,Mirrors,,,DeveloperServices/Mirrors.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\DeveloperServices\Mirrors.png
DeveloperServices,MobileAPPTest,MobileAPPTest,,,DeveloperServices/MobileAPPTest.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\DeveloperServices\MobileAPPTest.png
DeveloperServices,ServiceStage,ServiceStage,A one-stop PaaS service for enterprises,https://www.huaweicloud.com/intl/en-us/product/servicestage.html,DeveloperServices/ServiceStage.png,D:\Codex\云相关的操作\Draw.IO\official-huaweicloud-product-icons\images\DeveloperServices\ServiceStage.png
