source,category,title,description,href,image_url,image_key
china-zh-cn,Uncategorized,云防火墙 CFW,网络流量管控与入侵安全防护,https://www.huaweicloud.com/product/cfw.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/SecurityCompliance/CFW.png,SecurityCompliance/CFW.png
china-zh-cn,Uncategorized,交换数据空间 EDS,主权可控的数据安全交换服务,,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/aPaaS/EDS.png,aPaaS/EDS.png
china-zh-cn,Uncategorized,企业主机安全 HSS,服务器贴身安全管家,https://www.huaweicloud.com/product/hss.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/SecurityCompliance/HSS.png,SecurityCompliance/HSS.png
china-zh-cn,Uncategorized,分布式数据库中间件 DDM,突破容量和性能瓶颈，支持高并发访问,https://www.huaweicloud.com/product/ddm.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/Databases/DDM.png,Databases/DDM.png
china-zh-cn,Uncategorized,分布式缓存服务 DCS,兼容Redis®的高速内存数据处理引擎,https://www.huaweicloud.com/product/dcs.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/Middleware/Redis.png,Middleware/Redis.png
china-zh-cn,Uncategorized,区块链服务 BCS,高性能、高安全的区块链技术平台服务,https://www.huaweicloud.com/product/bcs.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/Blockchain/BCS.png,Blockchain/BCS.png
china-zh-cn,Uncategorized,可信智能计算服务 TICS,一站式数据可信流通平台服务,https://www.huaweicloud.com/product/tics.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/Analytics/TICS.png,Analytics/TICS.png
china-zh-cn,Uncategorized,安全云脑 SecMaster,云原生的新一代智能安全运营中心,https://www.huaweicloud.com/product/secmaster.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/SecurityCompliance/SecMaster.png,SecurityCompliance/SecMaster.png
china-zh-cn,Uncategorized,实时流计算服务 CS,实时大数据分析平台,https://www.huaweicloud.com/product/cs.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/Analytics/CS.png,Analytics/CS.png
china-zh-cn,Uncategorized,密码安全中心 DEW,云上数据加密和密钥托管服务,https://www.huaweicloud.com/product/dew.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/SecurityCompliance/DEW.png,SecurityCompliance/DEW.png
china-zh-cn,Uncategorized,数据仓库服务 DWS,极致性能、稳定、按需扩展的数据仓库,https://www.huaweicloud.com/product/dws.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/Analytics/DWS.png,Analytics/DWS.png
china-zh-cn,Uncategorized,数据可视化 DLV,提供可视化组件定制和应用数据大屏,https://www.huaweicloud.com/product/dlv.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/Analytics/DLV.png,Analytics/DLV.png
china-zh-cn,Uncategorized,数据复制服务 DRS,业务不停机中完成数据库迁移上云,https://www.huaweicloud.com/product/drs.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/Databases/DRS.png,Databases/DRS.png
china-zh-cn,Uncategorized,数据安全中心 DSC,云原生数据安全治理平台,https://www.huaweicloud.com/product/dsc.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/SecurityCompliance/DSC.png,SecurityCompliance/DSC.png
china-zh-cn,Uncategorized,数据库和应用迁移 UGO,异构数据库结构和应用迁移的专业工具,https://www.huaweicloud.com/product/ugo.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/Databases/UGO.png,Databases/UGO.png
china-zh-cn,Uncategorized,数据库安全服务 DBSS,数据库审计，SQL注入攻击检测,https://www.huaweicloud.com/product/dbss.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/SecurityCompliance/DBSS.png,SecurityCompliance/DBSS.png
china-zh-cn,Uncategorized,数据接入服务 DIS,实时数据接入、处理、转储服务,https://www.huaweicloud.com/product/dis.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/Analytics/DIS.png,Analytics/DIS.png
china-zh-cn,Uncategorized,数据治理中心 DataArts Studio,一站式数据开发与治理平台,https://www.huaweicloud.com/product/dayu.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/Analytics/DataArts.png,Analytics/DataArts.png
china-zh-cn,Uncategorized,数据湖探索 DLI,流处理，批处理和交互式的融合处理,https://www.huaweicloud.com/product/dli.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/Analytics/DLI.png,Analytics/DLI.png
china-zh-cn,Uncategorized,数据管理服务 DAS,数据库管理专家,https://www.huaweicloud.com/product/das.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/Databases/DAS.png,Databases/DAS.png
china-zh-cn,Uncategorized,数智融合计算服务 DataArts Fabric,提供一站式数据+AI开发平台,https://www.huaweicloud.com/product/dataartsfabric.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/Analytics/DataArtsFabric.png,Analytics/DataArtsFabric.png
china-zh-cn,Uncategorized,文档数据库服务 DDS,支持集群和副本集部署，弹性伸缩,https://www.huaweicloud.com/product/dds.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/Databases/DDS.png,Databases/DDS.png
china-zh-cn,Uncategorized,日志分析服务 Log,提供开箱即用的ELK日志解决方案,https://www.huaweicloud.com/product/log.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/Analytics/Log.png,Analytics/Log.png
china-zh-cn,Uncategorized,智能数据洞察 DataArts Insight,新一代BI服务，支撑业务实时高效决策,https://www.huaweicloud.com/product/dataartsinsight.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/Analytics/DataArts-Insight.png,Analytics/DataArts-Insight.png
china-zh-cn,Uncategorized,湖仓构建 LakeFormation,高效搭建数智融合一体化解决方案,https://www.huaweicloud.com/product/lakeformation.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/Analytics/LakeFormation.png,Analytics/LakeFormation.png
china-zh-cn,Uncategorized,表格存储服务 CloudTable,企业级托管型云数仓产品,https://www.huaweicloud.com/product/cloudtable.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/Analytics/CloudTable.png,Analytics/CloudTable.png
china-zh-cn,Uncategorized,边缘安全 EdgeSec,保护边缘应用安全，提升安全加速体验,https://www.huaweicloud.com/product/edgesec.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/SecurityCompliance/EdgeSec.png,SecurityCompliance/EdgeSec.png
china-zh-cn,人工智能,LLM大模型,多专家+大稀疏比的MOE新架构,https://www.huaweicloud.com/product/pangu/nlp.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/AI/pangu.png,AI/pangu.png
china-zh-cn,人工智能,MaaS模型即服务,极致性能，易用好用的Tokens服务,https://www.huaweicloud.com/product/modelarts/studio.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/AI/MaaS.png,AI/MaaS.png
china-zh-cn,人工智能,人脸识别服务 FRS,快速实现人脸的精确比对和检索,https://www.huaweicloud.com/product/face.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/AI/FRS.png,AI/FRS.png
china-zh-cn,人工智能,人证核身服务 IVS,实现对身份真实性的精准核验,https://www.huaweicloud.com/product/ivs.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/AI/ivs.png,AI/ivs.png
china-zh-cn,人工智能,八爪鱼自动驾驶云服务 Octopus,自动驾驶端到端开发工具链,https://www.huaweicloud.com/product/octopus.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/AI/Octopus.png,AI/Octopus.png
china-zh-cn,人工智能,内容审核 Moderation,提供文本、图像、视频中的内容检测功能,https://www.huaweicloud.com/product/moderation.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/AI/Moderation.png,AI/Moderation.png
china-zh-cn,人工智能,华为HiLens,端云协同AI应用开发平台,https://www.huaweicloud.com/product/hilens.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/AI/hilens.png,AI/hilens.png
china-zh-cn,人工智能,图引擎服务 GES,针对图结构数据，进行查询分析,https://www.huaweicloud.com/product/ges.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/AI/ges.png,AI/ges.png
china-zh-cn,人工智能,多模态大模型,图像理解 | 图像生成 | 视频生成,https://www.huaweicloud.com/product/pangu/multimodal.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/AI/pangu.png,AI/pangu.png
china-zh-cn,人工智能,天筹求解器 OptVerse,更好的优化，更优的决策,https://www.huaweicloud.com/product/optverse.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/AI/OptVerse.png,AI/OptVerse.png
china-zh-cn,人工智能,对话机器人服务 CBS,支持大模型的企业级对话机器人服务,https://www.huaweicloud.com/product/cbs.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/AI/cbs.png,AI/cbs.png
china-zh-cn,人工智能,文字识别 OCR,将图片中文字信息识别成可编辑文本,https://www.huaweicloud.com/product/ocr.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/AI/OCR.png,AI/OCR.png
china-zh-cn,人工智能,智能体平台 AgentArts,高效敏捷安全的一站式企业级智能体平台,https://www.huaweicloud.com/product/agentarts.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/aPaaS/Versatile.svg,aPaaS/Versatile.svg
china-zh-cn,人工智能,气象大模型,降水量预测 | 风电预测 | 光伏预测…,https://www.huaweicloud.com/product/pangu/scientific-computing.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/AI/pangu.png,AI/pangu.png
china-zh-cn,人工智能,视觉大模型,支持多行业图像数据合成,https://www.huaweicloud.com/product/pangu/cv.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/AI/pangu.png,AI/pangu.png
china-zh-cn,人工智能,视频智能分析服务 VIAS,多项能力一体化平台服务,https://www.huaweicloud.com/product/vias.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/AI/VIAS.png,AI/VIAS.png
china-zh-cn,人工智能,语音交互 SIS,精准快速语音识别，自然拟人语音合成,https://www.huaweicloud.com/product/sis.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/AI/sis.png,AI/sis.png
china-zh-cn,人工智能,预测大模型,虚拟测量 | 预测性维护 | 工艺优化…,https://www.huaweicloud.com/product/pangu/predict.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/AI/pangu.png,AI/pangu.png
china-zh-cn,人工智能,魔坊（ModelArts）模型训推平台,“数-训-推-强”，一站式AI开发平台,https://www.huaweicloud.com/product/modelarts.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/AI/ModelArts.png,AI/ModelArts.png
china-zh-cn,企业应用,Flexus云会议,高性价比的云会议，高清、稳定、安全,https://www.huaweicloud.com/product/flexus-meeting.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/Compute/FlexusMeeting.svg,Compute/FlexusMeeting.svg
china-zh-cn,企业应用,Flexus云桌面,按需弹性，更适合中小企业的云办公,https://www.huaweicloud.com/product/flexus-workspace.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/Compute/FlexusWorkspace.svg,Compute/FlexusWorkspace.svg
china-zh-cn,企业应用,IoT行业生态工作台 IoTStage,物联网解决方案一站式交付服务,https://www.huaweicloud.com/product/iotstage.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/InternetofThings/IoTStage.png,InternetofThings/IoTStage.png
china-zh-cn,企业应用,IoT边缘 IoTEdge,就近接入、数据预处理和边缘应用管理,https://www.huaweicloud.com/product/iotedge.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/InternetofThings/IoTEdge.png,InternetofThings/IoTEdge.png
china-zh-cn,企业应用,ROMA资产中心 ROMAExchange,企业数字资产管理和运营的统一平台,https://www.huaweicloud.com/product/romaexchange.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/BusinessApplications/ROMAExchange.png,BusinessApplications/ROMAExchange.png
china-zh-cn,企业应用,云地图服务 KooMap,使能数字孪生的云地图服务,https://www.huaweicloud.com/product/koomap.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/aPaaS/KooMap.png,aPaaS/KooMap.png
china-zh-cn,企业应用,云客服 CEC,提供呼叫中心云服务，高效联络用户,https://www.huaweicloud.com/product/cec.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/BusinessApplications/CEC.png,BusinessApplications/CEC.png
china-zh-cn,企业应用,云手机服务 KooPhone,优体验、高安全的政企云手机服务,https://www.huaweicloud.com/product/koophone.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/aPaaS/KooPhone.png,aPaaS/KooPhone.png
china-zh-cn,企业应用,云桌面 Workspace,安全高效、即开即用的云上虚拟桌面服务,https://www.huaweicloud.com/product/workspace.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/BusinessApplications/Workspace.png,BusinessApplications/Workspace.png
china-zh-cn,企业应用,云消息服务 KooMessage,全场景、全终端客户触达,https://www.huaweicloud.com/product/koomessage.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/aPaaS/KooMessage.png,aPaaS/KooMessage.png
china-zh-cn,企业应用,云空间服务 KooDrive,数字内容中枢，内容协作更高效,https://www.huaweicloud.com/product/koodrive.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/aPaaS/KooDrive.png,aPaaS/KooDrive.png
china-zh-cn,企业应用,华为云WeLink,安全、智能、数字化协同办公平台,https://www.huaweicloud.com/product/welink.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/BusinessApplications/WeLink.png,BusinessApplications/WeLink.png
china-zh-cn,企业应用,华为云会议 Meeting,提供全场景端云协同视频会议解决方案,https://www.huaweicloud.com/product/meeting.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/BusinessApplications/Meeting.png,BusinessApplications/Meeting.png
china-zh-cn,企业应用,域名注册服务 Domains,提供域名注册、续费、转入以及管理服务,https://www.huaweicloud.com/product/domain.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/BusinessApplications/Domains.png,BusinessApplications/Domains.png
china-zh-cn,企业应用,工业数字模型驱动引擎 iDME,使能工业软件SaaS化数据模型驱动引擎,https://www.huaweicloud.com/product/idt.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/Industrialsoftware/IDT.png,Industrialsoftware/IDT.png
china-zh-cn,企业应用,工业数据转换引擎云服务 iDEE,赋能异构工业软件高效数据转换,https://www.huaweicloud.com/product/idee.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/Industrialsoftware/iDEE.png,Industrialsoftware/iDEE.png
china-zh-cn,企业应用,应用与数据集成平台 ROMAConnect,无缝联接应用、消息、数据、API、设备,https://www.huaweicloud.com/product/roma.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/BusinessApplications/ROMAConnect.png,BusinessApplications/ROMAConnect.png
china-zh-cn,企业应用,应用平台 AppStage,应用全生命周期管理,https://www.huaweicloud.com/product/appstage.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/aPaaS/AppStage.png,aPaaS/AppStage.png
china-zh-cn,企业应用,开天企业工作台 MSSE,企业一站式数字化工作台,https://www.huaweicloud.com/product/msse.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/aPaaS/MSSE.png,aPaaS/MSSE.png
china-zh-cn,企业应用,开天集成工作台 MSSI,统一的行业资产智能协作平台,https://www.huaweicloud.com/product/mssi.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/aPaaS/MSSI.png,aPaaS/MSSI.png
china-zh-cn,企业应用,政企自服务管理服务 ESM,提升HCSO客户自主运营管理能力,https://www.huaweicloud.com/product/esm.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/BusinessApplications/esm.png,BusinessApplications/esm.png
china-zh-cn,企业应用,消息&短信 MSGSMS,携手全球运营商和渠道提供短信服务,https://www.huaweicloud.com/product/msgsms.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/DeveloperServices/MSGSMS.png,DeveloperServices/MSGSMS.png
china-zh-cn,企业应用,硬件开发工具链平台云服务 CraftArts IPDCenter,使能打造硬件开发工具链,https://www.huaweicloud.com/product/ipdcenter.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/Industrialsoftware/IPDCenter.png,Industrialsoftware/IPDCenter.png
china-zh-cn,企业应用,组织成员帐号 OrgID,为企业提供统一帐号、应用授权管理,https://www.huaweicloud.com/product/orgid.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/aPaaS/OrgID.png,aPaaS/OrgID.png
china-zh-cn,企业应用,解决方案工作台 InnoStage Workbench,支持解决方案设计、验证、交付等,https://www.huaweicloud.com/product/innostageworkbench.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/BusinessApplications/HaydnCSF.png,BusinessApplications/HaydnCSF.png
china-zh-cn,企业应用,设备接入 IoTDA,安全可靠接入海量设备,https://www.huaweicloud.com/product/iothub.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/InternetofThings/IoTDA.png,InternetofThings/IoTDA.png
china-zh-cn,企业应用,语音通话 VoiceCall,携手全球运营商提供语音服务,https://www.huaweicloud.com/product/voice.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/BusinessApplications/VoiceCall.png,BusinessApplications/VoiceCall.png
china-zh-cn,企业应用,隐私保护通话 PrivateNumber,不增加SIM卡，隐藏号码，保护个人隐私,https://www.huaweicloud.com/product/privatenumber.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/BusinessApplications/PrivateNumber.png,BusinessApplications/PrivateNumber.png
china-zh-cn,华为混合云,华为混合云,本地部署，匹配政企的全栈云服务,https://www.huaweicloud.com/product/huaweicloudstack.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/HuaweiCloudStack/huaweicloudstack.png,HuaweiCloudStack/huaweicloudstack.png
china-zh-cn,媒体服务,Flexus数字人,制作简单，高性价比的分身数字人,https://www.huaweicloud.com/product/flexus-metastudio.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/Compute/FlexusMetastudio.svg,Compute/FlexusMetastudio.svg
china-zh-cn,媒体服务,媒体处理 MPC,经济、高效、弹性的音视频转码和处理,https://www.huaweicloud.com/product/mpc.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/MediaServices/MPC.png,MediaServices/MPC.png
china-zh-cn,媒体服务,数字内容生产线 MetaStudio,提供一站式数字内容生产解决方案,https://www.huaweicloud.com/product/mdh.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/MediaServices/MetaStudio.png,MediaServices/MetaStudio.png
china-zh-cn,媒体服务,行业视频管理服务 IVM,面向机器视觉设备提供统一的设备管理,https://www.huaweicloud.com/product/ivm.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/SecurityCompliance/IVM.png,SecurityCompliance/IVM.png
china-zh-cn,媒体服务,视频点播 VOD,视频上传、处理、加速和播放,https://www.huaweicloud.com/product/vod.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/MediaServices/VOD.png,MediaServices/VOD.png
china-zh-cn,媒体服务,视频直播 Live,端到端视频直播解决方案,https://www.huaweicloud.com/product/live.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/MediaServices/Live.png,MediaServices/Live.png
china-zh-cn,存储,Flexus对象存储,成本最优，极致安全可靠的数据底座,https://www.huaweicloud.com/product/flexus-obs.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/Storage/FlexusOBS.svg,Storage/FlexusOBS.svg
china-zh-cn,存储,专属分布式存储服务 DSS,提供独享的物理存储资源,https://www.huaweicloud.com/product/dss.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/Storage/DSS.png,Storage/DSS.png
china-zh-cn,存储,业务恢复服务 BRS,为ECS提供跨可用区RPO=0的容灾保护,https://www.huaweicloud.com/product/sdrs.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/Storage/SDRS.png,Storage/SDRS.png
china-zh-cn,存储,云备份 CBR,为云服务器、云硬盘等提供备份服务,https://www.huaweicloud.com/product/cbr.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/Storage/CBR.png,Storage/CBR.png
china-zh-cn,存储,云存储网关 CSG,为企业应用提供标准的文件存储访问入口,https://www.huaweicloud.com/product/csg.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/Storage/CSG.png,Storage/CSG.png
china-zh-cn,存储,云服务器备份 CSBS,为所有云硬盘创建一致性在线备份,https://www.huaweicloud.com/product/csbs.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/Storage/CSBS.png,Storage/CSBS.png
china-zh-cn,存储,云硬盘 EVS,为计算服务提供持久性块存储的服务,https://www.huaweicloud.com/product/evs.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/Storage/EVS.png,Storage/EVS.png
china-zh-cn,存储,对象存储服务 OBS,稳定、安全、高效、易用的云存储服务,https://www.huaweicloud.com/product/obs.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/Storage/OBS.png,Storage/OBS.png
china-zh-cn,存储,弹性内存存储 EMS,高带宽、低时延的内存存储服务,https://www.huaweicloud.com/product/ems.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/Storage/EMS.svg,Storage/EMS.svg
china-zh-cn,存储,弹性文件服务 SFS,为计算实例提供完全托管的NAS文件存储,https://www.huaweicloud.com/product/sfs.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/Storage/SFS.png,Storage/SFS.png
china-zh-cn,存储,数据工坊 DWR,开放的近数据处理服务,https://www.huaweicloud.com/product/dwr.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/Storage/DWR.png,Storage/DWR.png
china-zh-cn,存储,键值存储服务 KVS,Serverless KV存储服务,https://www.huaweicloud.com/product/kvs.html,https://res-static.hc-cdn.cn/cloudbu-site/public/new-product-icon/Storage/KVS.png,Storage/KVS.png
